temperature,exhaust_vacuum,amb_pressure,r_humidity,energy_production,temperature_sqaure
12.78,41.04,1025.16,85.14,461.61,3.5749125863438955
8.95,43.13,1017.56,94.85,479.14,2.9916550603303182
31.95,70.8,1008.38,66.26,432.79,5.6524331044250316
22.25,59.8,1016.79,69.02,451.64,4.716990566028302
23.95,58.79,1010.45,74.34,448.32,4.893873721296862
32.5,73.68,1014.65,55.72,427.63,5.70087712549569
26.55,69.45,1013.92,52.22,434.55,5.152669211195301
13.55,40.1,1015.7,86.68,474.59,3.681032463861192
18.02,49.78,1003.86,100.09,451.41,4.244997055358225
28.41,75.6,1018.48,56.07,440.28,5.330103188494571
24.6,63.94,1012.87,80.28,439.63,4.959838707054898
21.01,60.1,1010.93,78.6,450.99,4.583666654546336
23.34,45.61,1012.73,74.09,455.82,4.831148931672465
30.89,74.87,1008.99,56.58,432.68,5.5578772926361015
28.41,74.16,1010.29,72.09,439.2,5.330103188494571
26.5,66.75,1018.48,61.62,431.23,5.1478150704935
23.48,65.12,1015.82,60.83,445.66,4.845616575834287
30.21,79.74,1006.82,54.03,430.83,5.496362433464518
25.3,58.46,1015.91,69.71,439.25,5.029910535983717
27.28,72.58,1009.21,89.96,431.27,5.223025942880239
27.71,62.39,1006.43,68.21,435.84,5.264028875300743
22.96,70.79,1005.68,93.93,434.47,4.791659420284375
8.6,36.66,1026.4,81.23,481.86,2.932575659723036
13.41,40.89,1010.85,89.61,472.4,3.661966684720111
29.45,74.16,1010.49,64.87,438.11,5.426785420486054
22.46,58.49,1011.5,70.54,448.46,4.739198244429114
28.77,58.33,1013.73,36.6,448.06,5.3637673327615545
25.61,52.36,1014.1,62.9,451.42,5.060632371551998
19.62,62.96,1020.76,76.53,456.02,4.4294469180700204
25.06,65.46,1014.37,38.82,443.03,5.005996404313531
6.54,39.33,1011.54,93.69,491.16,2.5573423705088842
29.22,72.39,1000.87,77.39,430.24,5.405552700695831
17.47,43.77,1012.25,76.78,456.41,4.179712908801273
22.08,45.61,1014.02,75.71,456.71,4.698936049788292
18.75,44.9,1007.99,75.76,452.77,4.330127018922194
24.55,58.86,1015.22,60.53,445.8,4.954795656734998
18.5,51.43,1010.82,92.04,459.42,4.301162633521313
30.36,74.87,1008.96,61.87,435.31,5.509990925582365
29.92,69.75,1009.12,67.15,441.5,5.469917732470938
23.62,73.67,1007.0,90.8,438.33,4.860041152089146
31.01,73.5,1010.92,48.61,432.41,5.568662316930341
19.84,65.48,1019.54,76.6,449.85,4.454211490264018
22.93,58.2,1017.75,54.09,444.95,4.788527957525152
22.12,57.19,1007.56,76.5,442.51,4.703190406521939
11.42,40.43,1025.5,75.85,490.02,3.37934904974316
12.51,41.14,1027.36,87.86,463.79,3.5369478367654787
18.87,52.08,1005.25,99.19,449.61,4.3439613257946945
29.87,73.91,1004.53,74.3,431.8,5.465345368775884
28.07,70.32,1007.17,67.02,430.29,5.298112871579842
15.46,42.07,1017.9,81.12,459.15,3.9319206502675
28.85,66.54,1010.73,43.27,437.79,5.371219600798314
14.03,49.15,1020.5,83.65,467.16,3.7456641600656084
13.2,45.01,1013.96,78.78,466.71,3.63318042491699
13.16,43.41,1016.43,79.47,465.6,3.627671429443411
30.98,67.48,1009.96,58.92,439.39,5.565968020030298
32.92,69.05,1000.74,39.61,426.61,5.737595315112421
14.12,41.39,1018.73,76.51,472.88,3.757658845611187
10.22,41.74,1022.65,83.58,479.01,3.1968734726291563
13.68,45.08,1024.91,85.26,467.02,3.698648401781386
25.72,49.82,1016.19,60.1,452.33,5.071488933242386
22.63,70.47,1008.0,82.27,441.92,4.757099956906519
24.56,58.82,1011.42,72.47,442.76,4.955804677345546
29.89,71.29,1009.0,55.72,431.45,5.4671747731346585
28.35,71.14,1010.65,60.38,429.21,5.324471804789654
13.61,42.34,1017.78,88.84,466.17,3.6891733491393435
22.11,59.8,1016.74,73.9,453.45,4.702127178203499
7.19,39.37,1019.67,70.77,480.4,2.6814175355583845
10.94,43.67,1012.36,73.3,477.34,3.3075670817082456
4.86,39.4,1012.73,91.39,488.63,2.2045407685048604
23.13,61.47,1008.96,85.5,438.8,4.809365862564419
23.73,59.15,1014.08,62.65,444.07,4.87134478352744
7.73,37.8,1020.71,63.93,483.94,2.7802877548915688
30.13,78.05,1010.99,61.5,434.14,5.489080068645383
34.53,73.03,1013.53,36.74,437.03,5.876223276901585
12.08,49.83,1008.21,96.01,467.54,3.4756294393965534
27.62,68.27,1008.04,63.04,427.67,5.2554733373883655
24.43,47.45,1007.68,65.18,446.45,4.942671342502958
16.73,58.59,1015.02,89.61,455.3,4.090232267243512
8.28,40.56,1023.29,79.44,486.4,2.8774989139876315
18.63,50.16,1010.21,97.13,450.14,4.316248370981447
29.32,63.77,1013.24,55.1,438.09,5.414794548272353
30.04,67.25,1017.65,52.84,435.17,5.4808758424178885
11.95,42.03,1017.58,90.89,465.2,3.456877203488721
14.04,44.21,1021.93,86.12,468.64,3.746998799039039
23.27,64.15,1020.98,71.18,452.26,4.823898838076935
17.48,58.95,1016.49,90.35,449.26,4.180908992073374
21.97,58.79,1010.93,86.7,448.8,4.6872166581031856
13.64,34.03,1018.32,62.2,469.61,3.6932370625238775
19.4,49.69,1012.89,75.53,455.6,4.404543109109048
15.86,43.02,1012.18,40.33,466.6,3.9824615503479754
27.25,50.05,1006.53,60.64,439.63,5.220153254455275
28.9,60.07,1015.96,45.06,440.62,5.375872022286245
34.33,74.34,1001.74,42.75,435.76,5.859180830116101
19.8,52.9,1017.75,66.67,456.64,4.449719092257398
24.32,65.48,1017.55,59.02,443.31,4.931531202375181
16.77,49.39,1018.61,95.86,459.38,4.095119045888654
27.6,69.34,1009.63,71.58,440.6,5.253570214625479
26.16,59.87,1013.24,71.92,446.73,5.1146847410177685
26.62,71.73,1009.32,80.1,431.93,5.159457335805772
20.29,65.27,1013.17,74.94,445.52,4.504442251822083
15.94,41.76,1023.32,67.17,462.44,3.992492955535426
18.34,50.59,1018.42,83.95,457.17,4.282522621072771
20.62,48.41,1007.37,87.51,445.4,4.540925015897091
14.33,38.73,1003.52,85.92,468.86,3.78549864614954
24.42,62.66,1007.65,71.57,443.09,4.941659640242335
23.09,60.95,1015.02,68.78,450.31,4.805205510693585
15.72,56.89,1013.35,85.06,456.33,3.964845520319802
23.02,69.94,1007.94,64.66,439.4,4.797916214358063
21.6,59.8,1016.9,76.59,450.14,4.6475800154489
32.22,70.8,1009.9,62.03,433.07,5.67626637852735
26.95,48.41,1008.53,62.94,436.54,5.191338940966964
23.49,73.18,1012.4,90.05,437.01,4.846648326421054
27.37,76.09,1007.52,89.12,433.34,5.231634543811332
25.63,69.89,1015.17,77.42,434.47,5.062608023538855
8.41,40.67,1019.97,69.2,489.25,2.9
29.33,52.84,1006.04,44.3,438.25,5.415717865620402
11.36,41.48,1012.8,76.16,465.37,3.370459909270543
11.44,44.2,1018.14,84.9,476.12,3.3823069050575527
27.86,65.18,1012.87,55.53,436.26,5.278257288158659
22.99,68.67,1006.65,77.62,446.67,4.794788837894741
14.44,39.0,1017.06,76.02,466.96,3.8
23.43,54.42,1013.58,70.99,454.86,4.8404545241123795
8.48,38.5,1013.5,66.51,485.29,2.9120439557122073
22.78,71.77,1005.26,89.23,435.46,4.77283982551269
26.39,71.25,999.8,89.12,430.34,5.137119815616529
31.54,72.58,1007.61,65.57,427.31,5.616048432839588
16.71,40.56,1019.48,49.88,467.46,4.0877866871939394
17.55,43.14,1018.86,76.0,461.58,4.189272013130682
31.68,70.79,1004.05,54.5,429.55,5.628498911788116
7.68,39.96,1023.73,87.48,477.84,2.7712812921102037
29.99,74.9,1003.84,64.43,435.87,5.476312628037227
26.05,65.38,1009.43,52.1,449.82,5.103920062069938
7.28,38.56,1018.96,67.98,485.57,2.6981475126464085
23.47,65.61,1014.57,69.83,447.16,4.844584605515729
7.94,35.77,1017.04,63.22,480.38,2.817800560721074
26.72,65.61,1014.41,52.01,442.48,5.169139193328034
11.44,43.13,1014.88,63.88,477.57,3.3823069050575527
29.12,66.51,1015.69,37.9,432.88,5.396295025292817
19.25,43.43,1012.01,73.26,451.08,4.387482193696061
16.0,43.34,1013.58,78.87,461.7,4.0
10.02,42.44,1014.57,99.16,478.5,3.1654383582688825
21.83,57.85,1012.49,75.16,448.21,4.672258554489466
26.92,62.44,1011.09,70.8,437.99,5.1884487084291395
16.47,38.01,1022.3,72.29,461.54,4.058324777540605
5.5,39.04,1021.46,78.91,478.65,2.345207879911715
18.74,45.09,1014.24,41.54,456.25,4.328972164382672
30.02,73.5,1010.52,44.91,429.84,5.47905101272109
27.22,69.04,1008.89,70.62,440.85,5.217278984298233
12.05,48.04,1009.14,100.13,464.14,3.4713109915419564
6.67,39.37,1019.99,75.61,486.84,2.582634314028992
12.47,45.01,1017.8,95.25,467.18,3.531288716601915
25.66,77.54,1008.22,78.42,432.82,5.065570056765576
20.59,59.8,1015.27,77.94,453.83,4.537620521815371
7.19,40.81,1015.22,85.65,487.15,2.6814175355583845
32.33,69.89,1014.18,50.93,427.29,5.6859475903318
31.27,69.13,1009.45,57.01,425.48,5.591958512006325
19.04,68.28,1004.52,86.16,444.54,4.363484845854286
9.25,41.26,1020.51,91.21,473.87,3.0413812651491097
14.84,42.03,1017.47,79.27,466.2,3.8522720568516444
12.05,40.55,1016.63,100.14,472.19,3.4713109915419564
29.82,43.21,1011.52,63.54,433.31,5.460769176590419
21.87,69.45,1014.04,71.19,439.97,4.676537180435969
18.8,44.78,1009.65,46.0,462.79,4.33589667773576
11.15,41.26,1022.67,81.83,473.57,3.3391615714128
22.3,67.25,1017.33,75.85,453.27,4.722287581247038
28.5,64.84,1011.47,54.41,441.74,5.338539126015656
9.27,40.22,1008.1,89.24,481.23,3.0446674695276656
28.24,64.69,1007.35,61.14,438.03,5.314132102234569
9.38,41.44,1015.09,86.8,481.96,3.062678566222711
29.59,74.78,1009.45,55.75,436.77,5.439669107583659
14.29,37.85,1009.98,92.81,468.63,3.7802116342871597
19.08,44.63,1020.14,43.36,459.81,4.368065933568311
15.07,43.48,1015.22,57.74,459.96,3.8820097887563345
26.0,69.89,1015.12,73.06,433.5,5.0990195135927845
28.18,73.03,1014.18,67.72,439.74,5.308483775994799
22.53,60.95,1015.12,75.1,449.43,4.746577714522328
29.6,71.58,1010.34,52.56,434.64,5.440588203494177
11.82,41.17,1019.5,55.74,475.61,3.438022687534217
11.73,37.92,1008.24,65.13,472.04,3.424908757908742
27.19,64.27,1013.06,58.13,444.54,5.214403129793476
9.32,41.39,1020.03,70.21,481.88,3.0528675044947495
21.45,66.05,1014.81,73.73,453.38,4.631414470763764
23.36,72.24,1010.99,94.41,434.15,4.833218389437829
29.35,71.58,1010.07,61.8,434.45,5.417564028232615
24.69,71.73,1010.13,70.54,436.78,4.968903299521938
27.34,59.87,1012.06,59.04,448.26,5.228766584960549
30.19,66.54,1004.39,61.43,428.37,5.494542747126461
19.8,57.25,1010.84,88.9,451.75,4.449719092257398
23.24,63.78,1017.1,63.8,446.95,4.82078831727758
17.03,47.83,1004.94,79.68,460.43,4.12674205639267
22.84,71.25,1001.9,96.45,433.85,4.7791212581394085
31.14,67.32,1013.93,38.37,436.64,5.580322571321482
31.3,70.79,1004.3,54.37,428.75,5.594640292279746
18.77,49.21,1012.2,58.69,454.86,4.332435804486894
22.07,48.41,1008.71,81.29,444.01,4.697871858618538
5.07,40.07,1019.32,66.17,494.87,2.2516660498395407
15.92,40.56,1020.79,53.52,470.22,3.9899874686520005
10.08,40.72,1022.7,67.3,480.8,3.1749015732775088
25.64,63.47,1012.33,68.35,442.62,5.063595560468865
21.11,65.94,1009.83,71.91,448.77,4.594562003064057
9.29,39.96,1026.2,97.55,473.51,3.047950130825634
10.32,41.01,1021.04,95.3,467.81,3.212475680841802
32.31,68.94,1006.11,71.78,431.14,5.684188596448926
25.08,61.02,1010.01,73.21,437.31,5.0079936102195655
32.16,76.2,1008.04,51.74,433.29,5.67097875150313
17.68,39.08,1002.77,74.24,454.18,4.2047592083257275
14.15,39.28,1013.5,77.63,471.23,3.7616485747608057
28.37,67.07,1005.65,56.13,435.94,5.32634959423431
27.31,59.54,1006.24,71.99,440.13,5.225897052181567
30.51,70.94,1007.64,59.42,430.91,5.523585791856591
14.38,40.66,1016.34,92.37,463.1,3.792097045171708
26.67,59.44,1012.01,58.83,441.29,5.164300533470143
18.83,48.98,1016.33,74.23,453.28,4.339354790749426
21.36,58.95,1018.35,78.87,443.93,4.621688003316537
10.99,43.5,1021.1,93.64,469.34,3.315116890850155
8.35,43.52,1022.78,97.34,479.31,2.8896366553599777
12.83,44.88,1017.86,87.88,474.26,3.581898937714463
25.22,71.85,1009.78,68.96,438.71,5.021951811795888
18.89,63.09,1018.47,84.85,450.0,4.346262762420146
33.82,72.29,1008.67,46.95,432.13,5.815496539419485
10.71,39.61,1018.72,73.66,473.77,3.2726136343907144
19.36,44.6,1016.25,45.65,464.56,4.4
25.97,69.34,1009.43,88.11,435.02,5.096076922496363
31.95,67.17,1007.11,61.58,432.6,5.6524331044250316
15.69,37.64,1016.0,83.88,462.18,3.9610604640676716
23.45,66.48,1003.66,75.83,435.13,4.8425200051213
31.98,70.17,999.43,59.42,430.92,5.655086206239477
17.03,58.49,1011.91,92.16,460.48,4.12674205639267
23.48,66.44,1011.28,61.11,443.21,4.845616575834287
15.11,45.01,1017.01,84.39,462.21,3.887158345115362
13.2,40.83,1007.75,94.98,472.41,3.63318042491699
18.41,44.9,1008.97,73.81,453.12,4.290687590584987
17.51,53.16,1013.13,82.86,457.45,4.1844951905815355
29.12,67.32,1014.21,48.8,435.2,5.396295025292817
28.08,73.42,1012.17,62.74,434.0,5.299056519796708
25.65,69.23,1012.55,62.02,435.25,5.06458290484024
31.54,77.24,1008.23,70.19,431.27,5.616048432839588
21.92,61.87,1009.68,58.83,445.52,4.68187996428785
32.37,67.83,1008.32,57.39,426.76,5.68946394662977
22.42,71.77,1005.5,90.62,435.06,4.734976240700686
7.0,36.24,1013.15,89.64,483.06,2.6457513110645907
16.37,43.5,1021.26,72.4,459.18,4.045985664828782
17.51,58.86,1016.78,83.63,453.2,4.1844951905815355
21.52,50.66,1013.56,74.33,455.71,4.638965401897281
29.24,60.23,1009.62,59.71,438.24,5.407402333838309
23.27,68.28,1005.01,74.83,444.86,4.823898838076935
13.71,43.41,1015.45,69.26,466.06,3.702701716314724
24.9,58.49,1011.06,65.14,444.19,4.9899899799498595
28.91,70.72,1009.7,67.5,439.94,5.376802023508025
27.01,63.78,1016.72,47.89,442.6,5.197114584074513
25.5,63.91,1009.4,75.22,444.26,5.049752469181039
23.73,61.02,1009.71,78.7,442.22,4.87134478352744
25.05,58.59,1013.37,66.14,442.93,5.004997502496879
23.82,63.76,1009.8,68.94,440.52,4.880573736764972
27.44,65.59,1010.76,68.67,441.08,5.238320341483518
10.27,40.64,1020.63,84.6,474.99,3.2046840717924128
20.47,58.16,1016.97,68.6,453.99,4.524378410345448
10.38,43.02,1013.37,78.53,474.44,3.2218007387174024
22.57,62.4,1009.77,86.05,444.69,4.750789408087881
19.46,60.07,1014.81,66.61,451.89,4.411349000022556
32.45,44.37,1005.05,44.37,429.81,5.6964901474504455
21.24,50.32,1008.54,84.83,447.32,4.608687448721165
22.25,43.79,1015.78,52.68,461.93,4.716990566028302
17.89,42.42,1008.92,65.08,467.59,4.2296571965113205
27.07,66.93,1017.32,55.38,446.48,5.202883815731425
17.96,47.83,1005.0,85.72,454.59,4.237924020083418
23.38,58.82,1012.27,77.87,446.54,4.835286961494633
22.53,62.39,1007.84,86.4,450.08,4.746577714522328
24.25,50.78,1008.82,60.55,443.8,4.924428900898052
13.75,41.49,1019.9,88.23,469.02,3.7080992435478315
23.95,51.86,1014.24,68.28,449.81,4.893873721296862
12.82,38.62,1018.71,83.8,467.41,3.5805027579936315
11.57,41.54,1020.13,69.14,476.89,3.4014702703389896
17.3,42.24,1017.07,64.52,469.21,4.159326868617084
18.71,54.9,1017.12,74.79,456.88,4.325505750776434
25.89,74.22,1007.43,81.55,433.73,5.088221693283421
24.62,70.47,1010.55,72.71,435.88,4.961854492022111
14.82,44.2,1018.98,72.8,465.73,3.8496753109840314
10.13,38.16,1013.57,79.04,474.92,3.1827660925679098
18.21,62.26,1011.97,87.28,455.88,4.267317658670374
10.62,39.64,1010.65,62.15,477.07,3.2588341473600644
18.13,66.86,1012.9,78.84,454.85,4.257933771208753
26.9,60.93,1007.1,67.32,435.87,5.186520991955976
23.8,48.6,1002.43,67.32,440.89,4.878524367060187
30.88,67.83,1008.97,54.99,425.36,5.556977595779922
24.17,71.58,1010.16,89.96,436.27,4.916299421312742
25.66,70.02,1010.89,68.14,442.2,5.065570056765576
23.39,73.5,1011.37,88.48,441.18,4.836320915737499
7.67,35.77,1017.55,60.97,480.06,2.7694764848252458
22.43,63.94,1012.76,93.24,444.53,4.736032094485847
22.35,63.47,1013.21,82.52,440.11,4.727578661429125
29.18,71.43,1011.65,59.49,443.75,5.401851534427802
10.89,44.2,1018.3,86.32,479.16,3.3000000000000003
32.96,73.03,1013.56,54.03,438.93,5.74108003776293
21.4,74.93,1014.58,80.85,434.09,4.626013402488151
4.56,40.27,1011.13,80.24,493.87,2.1354156504062622
21.97,58.12,1014.21,85.93,448.91,4.6872166581031856
30.9,73.42,1011.21,65.32,433.44,5.558776843874918
25.16,60.23,1011.21,68.31,444.98,5.015974481593781
27.79,69.23,1012.86,45.71,435.06,5.271622141238881
29.29,71.14,1011.49,49.97,432.58,5.412023651093923
25.75,60.95,1014.75,53.3,443.73,5.07444578254611
19.76,48.92,1010.48,46.57,456.69,4.445222154178574
25.1,61.47,1007.84,75.75,447.27,5.0099900199501395
28.32,66.54,1010.28,45.6,436.42,5.321653878260029
23.66,77.54,1008.5,85.32,435.38,4.864154602806124
21.84,64.69,1007.57,77.34,450.25,4.673328578219169
23.37,63.87,1016.67,60.44,446.42,4.8342527861087286
13.11,41.44,1015.55,74.45,471.61,3.6207733980463344
22.64,63.73,1013.88,84.22,447.21,4.758150901348127
7.1,41.74,1022.25,91.07,484.12,2.6645825188948455
14.81,42.77,1017.83,75.09,463.06,3.8483762809787714
16.52,44.88,1017.61,90.08,459.73,4.064480286580315
17.77,52.9,1020.11,81.51,457.98,4.215447781671599
26.74,49.02,1008.18,67.59,438.06,5.171073389539158
28.46,49.16,1004.61,38.1,438.02,5.334791467339656
21.39,64.27,1011.71,95.39,445.12,4.624932431938871
20.77,69.51,1012.96,62.89,442.82,4.557411546042337
12.06,52.72,1024.53,80.05,467.21,3.472751070837068
8.3,36.08,1020.63,80.42,481.6,2.8809720581775866
24.75,69.45,1013.97,53.49,438.28,4.9749371855331
12.41,37.92,1008.09,65.23,470.49,3.5227829907617076
29.46,49.3,1003.88,54.1,436.37,5.427706698044765
7.23,41.22,1015.23,98.04,483.31,2.6888659319497505
14.51,42.77,1017.47,81.95,463.37,3.809199390948182
19.31,60.07,1014.86,69.37,453.47,4.3943145085439665
33.38,71.06,1008.1,64.83,430.98,5.7775427302617155
21.51,48.92,1010.36,38.27,455.11,4.637887450122092
11.68,40.55,1006.48,96.16,474.8,3.4176014981270124
18.78,63.09,1019.22,80.2,452.86,4.3335897360040905
22.84,67.32,1013.77,64.67,438.36,4.7791212581394085
26.03,70.32,1008.81,71.35,438.15,5.101960407529639
28.09,63.31,1013.01,52.6,438.6,5.3
14.5,41.76,1023.94,84.42,464.23,3.8078865529319543
15.31,41.35,1005.09,95.25,466.5,3.9127995093027703
18.59,41.1,1001.93,58.16,459.72,4.31161222746202
17.44,44.89,1009.9,80.54,457.67,4.17612260356422
14.9,52.05,1015.11,77.33,464.82,3.8600518131237567
24.81,63.73,1009.34,83.61,440.43,4.980963762164908
15.23,37.87,1020.17,85.02,464.02,3.9025632602175713
15.12,48.92,1011.8,72.93,462.59,3.888444419044716
33.79,69.05,1001.62,40.13,435.1,5.812916651733448
16.18,43.99,1021.97,80.96,460.81,4.022437072223753
12.76,40.27,1006.58,49.34,474.03,3.57211421989835
27.14,63.13,1013.38,75.68,438.82,5.209606511052442
9.06,43.79,1016.05,81.32,482.8,3.0099833886584824
16.79,49.25,1021.21,68.8,458.42,4.097560249709575
18.06,56.65,1020.2,81.59,459.14,4.249705872175156
10.8,41.66,1013.79,81.96,475.51,3.286335345030997
13.03,42.86,1014.39,86.25,475.03,3.609709129556009
25.27,69.89,1015.21,79.33,436.33,5.026927491022722
13.74,45.08,1024.97,84.79,466.79,3.7067505985701277
24.82,57.19,1007.82,71.46,439.91,4.98196748283246
14.3,54.3,1015.16,75.29,464.9,3.7815340802378077
30.07,70.04,1010.84,55.74,426.35,5.4836119483420775
19.41,46.63,1013.23,86.28,452.6,4.405678154382138
20.83,49.02,1009.45,91.92,445.31,4.56398948289761
23.84,49.21,1013.35,45.4,446.54,4.882622246293481
21.09,50.9,1012.42,69.09,456.09,4.592385001282014
29.6,67.79,1010.37,51.05,442.43,5.440588203494177
10.12,43.72,1011.33,97.62,473.05,3.181194744117373
21.03,67.45,1015.01,68.59,447.11,4.585847795119241
14.05,39.59,1011.2,94.54,464.63,3.7483329627982624
30.39,66.54,1002.7,59.15,428.89,5.512712580935088
15.61,41.2,1016.12,75.28,467.81,3.950949253027682
32.63,69.89,1013.85,41.66,425.72,5.712267500739089
29.72,54.2,1012.86,38.48,438.84,5.451605268175604
17.62,43.52,1021.01,71.52,457.45,4.197618372363071
32.39,79.74,1006.92,58.58,430.12,5.691221310052878
11.44,41.39,1019.59,79.95,478.52,3.3823069050575527
19.7,51.3,1014.88,88.1,454.94,4.43846820423443
25.18,56.89,1012.26,64.46,442.42,5.017967716117751
29.86,64.79,1017.37,44.8,439.89,5.4644304369257
18.0,44.06,1016.8,78.88,454.59,4.242640687119285
5.47,40.62,1018.66,83.61,481.56,2.3388031127052997
10.06,43.22,1014.1,85.7,473.0,3.1717503054307414
24.95,76.16,1006.2,76.16,437.47,4.994997497496871
8.49,43.69,1016.93,85.63,483.62,2.9137604568666933
25.87,44.57,1007.43,55.92,445.79,5.086255990411808
29.04,60.07,1015.42,46.15,440.43,5.388877434122992
26.8,72.58,1008.94,78.24,428.62,5.176871642217914
31.03,74.33,1011.55,63.45,429.35,5.570457790882182
22.73,66.75,1018.13,84.06,437.93,4.767598976424087
15.32,45.01,1013.3,83.72,459.31,3.9140771581561853
27.91,64.79,1017.7,48.29,440.53,5.282991576748916
9.34,41.49,1020.58,97.59,471.04,3.056141357987225
12.07,39.99,1009.7,93.27,473.06,3.4741905532080417
28.83,66.44,1008.47,77.49,430.01,5.36935750346352
19.94,44.9,1008.52,74.69,459.47,4.465422712353221
20.64,49.21,1014.86,58.47,454.2,4.5431266766402185
14.45,43.71,1025.26,84.23,463.6,3.8013155617496426
14.14,39.59,1010.84,96.02,465.23,3.760319135392633
27.33,51.43,1006.18,67.6,439.12,5.227810249043093
24.67,69.14,1006.25,88.51,440.03,4.9668903752750575
22.52,67.32,1011.4,66.2,443.49,4.745524207081869
11.54,45.0,1022.77,80.79,482.34,3.3970575502926055
22.7,60.84,1019.15,71.48,438.59,4.764451699828638
26.84,71.94,1006.6,79.12,427.2,5.180733538795447
7.0,35.77,1018.21,64.84,482.8,2.6457513110645907
30.01,68.27,1006.88,51.67,428.6,5.478138369920935
29.32,71.29,1008.34,51.51,432.17,5.414794548272353
26.75,43.21,1012.29,87.28,430.45,5.172040216394301
22.59,59.43,1005.85,84.02,442.0,4.752893855326458
30.9,69.4,1003.53,66.69,425.3,5.558776843874918
20.25,44.78,1007.93,40.16,462.44,4.5
14.18,39.3,1020.1,67.48,464.32,3.765634076752546
8.26,44.71,1020.85,68.82,485.19,2.874021572639983
25.74,65.38,1009.6,54.34,452.94,5.073460357586328
23.09,63.91,1012.23,83.25,447.9,4.805205510693585
24.66,60.29,1018.0,59.56,445.26,4.965883607174055
32.33,67.83,1008.11,57.48,427.84,5.6859475903318
24.33,46.93,1013.83,44.59,447.54,4.9325449820554095
22.48,71.29,1008.15,75.41,444.71,4.741307836451879
21.39,51.3,1013.39,89.05,452.7,4.624932431938871
33.95,68.14,1002.33,48.98,427.25,5.826662852782886
16.62,54.3,1017.99,63.76,459.59,4.076763422127902
25.58,64.45,1011.07,61.47,447.16,5.057667446560717
10.22,39.96,1025.05,96.05,471.36,3.1968734726291563
9.45,43.5,1018.89,84.29,476.1,3.0740852297878796
10.1,40.22,1007.1,90.36,478.43,3.1780497164141406
30.8,69.14,1007.68,63.78,433.62,5.549774770204643
23.39,61.87,1010.35,48.91,444.03,4.836320915737499
6.23,40.96,1022.49,93.15,488.82,2.495996794869737
20.96,61.27,1019.99,67.32,448.77,4.578209256903839
12.08,41.39,1019.45,78.3,477.8,3.4756294393965534
26.45,47.43,1008.87,53.25,442.12,5.142956348249516
32.0,73.17,1009.94,40.48,428.69,5.656854249492381
5.42,41.38,1020.77,86.02,491.38,2.328089345364563
12.72,44.9,1007.6,71.8,463.49,3.566510900025402
23.59,43.77,1010.85,55.98,448.42,4.856953777832357
30.25,68.24,1006.58,31.9,432.05,5.5
5.71,45.87,1012.04,93.42,482.49,2.3895606290697042
28.13,56.9,1007.17,51.66,436.95,5.303772242470448
28.98,62.66,1009.1,52.62,438.45,5.383307533477908
22.58,58.12,1014.88,80.59,448.32,4.751841748206688
20.41,50.32,1008.45,93.12,447.06,4.517742799230607
16.0,43.02,1012.37,39.2,466.01,4.0
18.18,61.87,1008.64,66.28,453.1,4.263801121065568
18.4,43.96,1012.4,77.81,464.63,4.2895221179054435
22.55,47.45,1008.65,67.9,447.42,4.748684028233506
16.76,53.16,1014.13,81.87,457.98,4.093897898091744
20.13,43.43,1009.75,66.16,453.47,4.486646854834911
